name,district,wiki_link
Bradley Byrne,Alabama 1,/wiki/Bradley_Byrne
Martha Roby,Alabama 2,/wiki/Martha_Roby
Mike Rogers,Alabama 3,/wiki/Mike_Rogers_(Alabama_politician)
Robert Aderholt,Alabama 4,/wiki/Robert_Aderholt
Mo Brooks,Alabama 5,/wiki/Mo_Brooks
Gary Palmer,Alabama 6,/wiki/Gary_Palmer_(politician)
Terri Sewell,Alabama 7,/wiki/Terri_Sewell
Don Young,Alaska At Large,/wiki/Don_Young
Tom O'Halleran,Arizona 1,/wiki/Tom_O%27Halleran
Martha McSally,Arizona 2,/wiki/Martha_McSally
Raúl Grijalva,Arizona 3,/wiki/Ra%C3%BAl_Grijalva
Paul Gosar,Arizona 4,/wiki/Paul_Gosar
Andy Biggs,Arizona 5,/wiki/Andy_Biggs_(politician)
David Schweikert,Arizona 6,/wiki/David_Schweikert
Ruben Gallego,Arizona 7,/wiki/Ruben_Gallego
Trent Franks,Arizona 8,/wiki/Trent_Franks
Kyrsten Sinema,Arizona 9,/wiki/Kyrsten_Sinema
Rick Crawford,Arkansas 1,/wiki/Rick_Crawford_(politician)
French Hill,Arkansas 2,/wiki/French_Hill_(politician)
Steve Womack,Arkansas 3,/wiki/Steve_Womack
Bruce Westerman,Arkansas 4,/wiki/Bruce_Westerman
Doug LaMalfa,California 1,/wiki/Doug_LaMalfa
Jared Huffman,California 2,/wiki/Jared_Huffman
John Garamendi,California 3,/wiki/John_Garamendi
Tom McClintock,California 4,/wiki/Tom_McClintock
Mike Thompson,California 5,/wiki/Mike_Thompson_(California_politician)
Doris Matsui,California 6,/wiki/Doris_Matsui
Ami Bera,California 7,/wiki/Ami_Bera
Paul Cook,California 8,/wiki/Paul_Cook_(politician)
Jerry McNerney,California 9,/wiki/Jerry_McNerney
Jeff Denham,California 10,/wiki/Jeff_Denham
Mark DeSaulnier,California 11,/wiki/Mark_DeSaulnier
Nancy Pelosi,California 12,/wiki/Nancy_Pelosi
Barbara Lee,California 13,/wiki/Barbara_Lee
Jackie Speier,California 14,/wiki/Jackie_Speier
Eric Swalwell,California 15,/wiki/Eric_Swalwell
Jim Costa,California 16,/wiki/Jim_Costa
Ro Khanna,California 17,/wiki/Ro_Khanna
Anna Eshoo,California 18,/wiki/Anna_Eshoo
Zoe Lofgren,California 19,/wiki/Zoe_Lofgren
Jimmy Panetta,California 20,/wiki/Jimmy_Panetta
David Valadao,California 21,/wiki/David_Valadao
Devin Nunes,California 22,/wiki/Devin_Nunes
Kevin McCarthy,California 23,/wiki/Kevin_McCarthy_(California_politician)
Salud Carbajal,California 24,/wiki/Salud_Carbajal
Steve Knight,California 25,/wiki/Steve_Knight_(politician)
Julia Brownley,California 26,/wiki/Julia_Brownley
Judy Chu,California 27,/wiki/Judy_Chu
Adam Schiff,California 28,/wiki/Adam_Schiff
Tony Cárdenas,California 29,/wiki/Tony_C%C3%A1rdenas
Brad Sherman,California 30,/wiki/Brad_Sherman
Pete Aguilar,California 31,/wiki/Pete_Aguilar
Grace Napolitano,California 32,/wiki/Grace_Napolitano
Ted Lieu,California 33,/wiki/Ted_Lieu
Jimmy Gomez,California 34,/wiki/Jimmy_Gomez
Norma Torres,California 35,/wiki/Norma_Torres
Raul Ruiz,California 36,/wiki/Raul_Ruiz_(politician)
Karen Bass,California 37,/wiki/Karen_Bass
Linda Sánchez,California 38,/wiki/Linda_S%C3%A1nchez
Ed Royce,California 39,/wiki/Ed_Royce
Lucille Roybal-Allard,California 40,/wiki/Lucille_Roybal-Allard
Mark Takano,California 41,/wiki/Mark_Takano
Ken Calvert,California 42,/wiki/Ken_Calvert
Maxine Waters,California 43,/wiki/Maxine_Waters
Nanette Barragán,California 44,/wiki/Nanette_Barrag%C3%A1n
Mimi Walters,California 45,/wiki/Mimi_Walters
Lou Correa,California 46,/wiki/Lou_Correa
Alan Lowenthal,California 47,/wiki/Alan_Lowenthal
Dana Rohrabacher,California 48,/wiki/Dana_Rohrabacher
Darrell Issa,California 49,/wiki/Darrell_Issa
Duncan D. Hunter,California 50,/wiki/Duncan_D._Hunter
Juan Vargas,California 51,/wiki/Juan_Vargas
Scott Peters,California 52,/wiki/Scott_Peters_(politician)
Susan Davis,California 53,/wiki/Susan_Davis_(politician)
Diana DeGette,Colorado 1,/wiki/Diana_DeGette
Jared Polis,Colorado 2,/wiki/Jared_Polis
Scott Tipton,Colorado 3,/wiki/Scott_Tipton
Ken Buck,Colorado 4,/wiki/Ken_Buck
Doug Lamborn,Colorado 5,/wiki/Doug_Lamborn
Mike Coffman,Colorado 6,/wiki/Mike_Coffman
Ed Perlmutter,Colorado 7,/wiki/Ed_Perlmutter
John B. Larson,Connecticut 1,/wiki/John_B._Larson
Joe Courtney,Connecticut 2,/wiki/Joe_Courtney_(politician)
Rosa DeLauro,Connecticut 3,/wiki/Rosa_DeLauro
Jim Himes,Connecticut 4,/wiki/Jim_Himes
Elizabeth Esty,Connecticut 5,/wiki/Elizabeth_Esty
Lisa Blunt Rochester,Delaware At Large,/wiki/Lisa_Blunt_Rochester
Matt Gaetz,Florida 1,/wiki/Matt_Gaetz
Neal Dunn,Florida 2,/wiki/Neal_Dunn
Ted Yoho,Florida 3,/wiki/Ted_Yoho
John Rutherford,Florida 4,/wiki/John_Rutherford_(Florida_politician)
Al Lawson,Florida 5,/wiki/Al_Lawson
Ron DeSantis,Florida 6,/wiki/Ron_DeSantis
Stephanie Murphy,Florida 7,/wiki/Stephanie_Murphy
Bill Posey,Florida 8,/wiki/Bill_Posey
Darren Soto,Florida 9,/wiki/Darren_Soto
Val Demings,Florida 10,/wiki/Val_Demings
Daniel Webster,Florida 11,/wiki/Daniel_Webster_(Florida_politician)
Gus Bilirakis,Florida 12,/wiki/Gus_Bilirakis
Charlie Crist,Florida 13,/wiki/Charlie_Crist
Kathy Castor,Florida 14,/wiki/Kathy_Castor
Dennis Ross,Florida 15,/wiki/Dennis_A._Ross
Vern Buchanan,Florida 16,/wiki/Vern_Buchanan
Tom Rooney,Florida 17,/wiki/Tom_Rooney_(politician)
Brian Mast,Florida 18,/wiki/Brian_Mast
Francis Rooney,Florida 19,/wiki/Francis_Rooney
Alcee Hastings,Florida 20,/wiki/Alcee_Hastings
Ted Deutch,Florida 21,/wiki/Ted_Deutch
Lois Frankel,Florida 22,/wiki/Lois_Frankel
Debbie Wasserman Schultz,Florida 23,/wiki/Debbie_Wasserman_Schultz
Frederica Wilson,Florida 24,/wiki/Frederica_Wilson
Mario Díaz-Balart,Florida 25,/wiki/Mario_D%C3%ADaz-Balart
Carlos Curbelo,Florida 26,/wiki/Carlos_Curbelo_(politician)
Ileana Ros-Lehtinen,Florida 27,/wiki/Ileana_Ros-Lehtinen
Buddy Carter,Georgia 1,/wiki/Buddy_Carter
Sanford Bishop,Georgia 2,/wiki/Sanford_Bishop
Drew Ferguson,Georgia 3,/wiki/Drew_Ferguson_(politician)
Hank Johnson,Georgia 4,/wiki/Hank_Johnson
John Lewis,Georgia 5,/wiki/John_Lewis_(Georgia_politician)
Karen Handel,Georgia 6,/wiki/Karen_Handel
Rob Woodall,Georgia 7,/wiki/Rob_Woodall
Austin Scott,Georgia 8,/wiki/Austin_Scott_(politician)
